"","dist_id","dist_nm","reg_nm"
"1",2,"Bunkpurugu Yonyo","GH-NP"
"2",3,"Central Gonja","GH-NP"
"3",4,"Chereponi","GH-NP"
"4",5,"East Gonja","GH-NP"
"5",6,"East Mamprusi","GH-NP"
"6",7,"Gushegu","GH-NP"
"7",8,"Karaga","GH-NP"
"8",9,"Kpandai","GH-NP"
"9",10,"Kumbungu","GH-NP"
"10",11,"Mamprugo Moaduri","GH-NP"
"11",12,"Mion","GH-NP"
"12",13,"Nanumba North","GH-NP"
"13",14,"Nanumba South","GH-NP"
"14",15,"North Gonja","GH-NP"
"15",16,"Saboba","GH-NP"
"16",17,"Sagnarigu","GH-NP"
"17",18,"Savelugu-Nanton","GH-NP"
"18",19,"Sawla-Tuna-Kalba","GH-NP"
"19",20,"Tamale Metropolitan","GH-NP"
"20",22,"Tolon","GH-NP"
"21",23,"West Gonja","GH-NP"
"22",24,"West Mamprusi","GH-NP"
"23",25,"Yendi Municipal","GH-NP"
"24",26,"Zabzugu","GH-NP"
"25",28,"Bawku West","GH-UE"
"26",31,"Bongo","GH-UE"
"27",34,"Garu-Tempane","GH-UE"
"28",36,"Kassena Nankana West","GH-UE"
"29",39,"Talensi","GH-UE"
"30",41,"Jirapa","GH-UW"
"31",43,"Lawra","GH-UW"
"32",44,"Nadowli","GH-UW"
"33",45,"Nandom","GH-UW"
"34",47,"Sissala West","GH-UW"
"35",48,"Wa East","GH-UW"
"36",49,"Wa Municipal","GH-UW"
"37",50,"Wa West","GH-UW"
"38",4559,"Ahafo Ano South","GH-AH"
"39",3936,"Ejura-Sekyedumase","GH-AH"
"40",2789,"Atebubu-Amantin","GH-BA"
"41",2801,"Pru","GH-BA"
"42",2802,"Sene East","GH-BA"
"43",2803,"Sene West","GH-BA"
"44",2811,"Wenchi","GH-BA"
"45",4023,"Hohoe","GH-TV"
"46",4031,"Krachi Nchumuru","GH-TV"
